photo_unit,necrosis_prop,slough_prop,granulation_prop
0,0.47479248046875,0.39935302734375,0.1258544921875
1,0.24761962890625,0.51702880859375,0.2353515625
2,0.25396728515625,0.2103271484375,0.53570556640625
3,0.297607421875,0.302490234375,0.39990234375
4,0.2593994140625,0.43829345703125,0.30230712890625
5,0.267333984375,0.35833740234375,0.37432861328125
6,0.32080078125,0.29052734375,0.388671875
7,0.35748291015625,0.4271240234375,0.21539306640625
9,0.23406982421875,0.3714599609375,0.39447021484375
10,0.3232421875,0.43914794921875,0.23760986328125
11,0.24029541015625,0.3177490234375,0.44195556640625
12,0.1170654296875,0.622314453125,0.2606201171875
13,0.2659912109375,0.559814453125,0.1741943359375
14,0.285888671875,0.4083251953125,0.3057861328125
15,0.17755126953125,0.5880126953125,0.23443603515625
16,0.5032958984375,0.1661376953125,0.33056640625
17,0.344970703125,0.24267578125,0.412353515625
18,0.25982666015625,0.4437255859375,0.29644775390625
19,0.32745361328125,0.4044189453125,0.26812744140625
20,0.440185546875,0.341796875,0.218017578125
21,0.45489501953125,0.40997314453125,0.1351318359375
22,0.26611328125,0.36773681640625,0.36614990234375
23,0.20086669921875,0.55047607421875,0.2486572265625
24,0.3004150390625,0.42071533203125,0.27886962890625
25,0.33154296875,0.503173828125,0.165283203125
26,0.17156982421875,0.4266357421875,0.40179443359375
27,0.34136962890625,0.2110595703125,0.44757080078125
28,0.2607421875,0.4892578125,0.25
29,0.2322998046875,0.290283203125,0.4774169921875
30,0.43768310546875,0.28076171875,0.28155517578125
31,0.576171875,0.3167724609375,0.1070556640625
32,0.29071044921875,0.5003662109375,0.20892333984375
33,0.40496826171875,0.40484619140625,0.190185546875
34,0.3785400390625,0.38360595703125,0.23785400390625
35,0.37921142578125,0.38946533203125,0.2313232421875
36,0.3155517578125,0.37127685546875,0.31317138671875
37,0.4298095703125,0.41412353515625,0.15606689453125
38,0.32525634765625,0.392822265625,0.28192138671875
39,0.475341796875,0.25994873046875,0.26470947265625
40,0.139892578125,0.5035400390625,0.3565673828125
41,0.2880859375,0.4609375,0.2509765625
